Projection_slice_ID,Year,Month
1,1981,1
1,1982,1
1,1983,1
1,1984,1
1,1985,1
1,1986,1
1,1987,1
1,1988,1
1,1989,1
1,1990,1
1,1991,1
1,1992,1
1,1993,1
1,1995,1
1,1996,1
1,1997,1
1,1999,1
1,2000,1
1,1981,2
1,1982,2
1,1983,2
1,1984,2
1,1985,2
1,1986,2
1,1987,2
1,1989,2
1,1990,2
1,1991,2
1,1993,2
1,1994,2
1,1995,2
1,1996,2
1,1997,2
1,1998,2
1,1999,2
1,2000,2
1,1981,3
1,1982,3
1,1983,3
1,1984,3
1,1987,3
1,1988,3
1,1989,3
1,1990,3
1,1991,3
1,1992,3
1,1993,3
1,1994,3
1,1995,3
1,1996,3
1,1997,3
1,1998,3
1,1999,3
1,2000,3
1,1981,4
1,1982,4
1,1983,4
1,1984,4
1,1986,4
1,1987,4
1,1988,4
1,1989,4
1,1990,4
1,1991,4
1,1992,4
1,1994,4
1,1995,4
1,1996,4
1,1997,4
1,1998,4
1,1999,4
1,2000,4
1,1981,5
1,1982,5
1,1983,5
1,1984,5
1,1985,5
1,1986,5
1,1987,5
1,1989,5
1,1990,5
1,1991,5
1,1992,5
1,1993,5
1,1994,5
1,1995,5
1,1997,5
1,1998,5
1,1999,5
1,2000,5
1,1982,6
1,1984,6
1,1985,6
1,1986,6
1,1987,6
1,1988,6
1,1989,6
1,1990,6
1,1991,6
1,1992,6
1,1993,6
1,1994,6
1,1995,6
1,1996,6
1,1997,6
1,1998,6
1,1999,6
1,2000,6
1,1981,7
1,1983,7
1,1984,7
1,1985,7
1,1986,7
1,1987,7
1,1988,7
1,1989,7
1,1990,7
1,1991,7
1,1992,7
1,1994,7
1,1995,7
1,1996,7
1,1997,7
1,1998,7
1,1999,7
1,2000,7
1,1981,8
1,1983,8
1,1984,8
1,1985,8
1,1986,8
1,1987,8
1,1989,8
1,1990,8
1,1991,8
1,1992,8
1,1993,8
1,1994,8
1,1995,8
1,1996,8
1,1997,8
1,1998,8
1,1999,8
1,2000,8
1,1981,9
1,1982,9
1,1983,9
1,1984,9
1,1985,9
1,1986,9
1,1987,9
1,1988,9
1,1989,9
1,1991,9
1,1992,9
1,1993,9
1,1994,9
1,1995,9
1,1996,9
1,1997,9
1,1998,9
1,1999,9
1,1981,10
1,1982,10
1,1983,10
1,1984,10
1,1985,10
1,1986,10
1,1987,10
1,1988,10
1,1989,10
1,1990,10
1,1991,10
1,1992,10
1,1993,10
1,1994,10
1,1995,10
1,1996,10
1,1997,10
1,2000,10
1,1981,11
1,1982,11
1,1983,11
1,1984,11
1,1985,11
1,1986,11
1,1987,11
1,1988,11
1,1989,11
1,1990,11
1,1991,11
